property_id,property_name,property_type,location,purchase_price,purchase_date,current_value,occupancy_rate,monthly_rent,noi,epc_rating,maintenance_score,market_rent,latitude,longitude
PROP-001,Downtown Tech Hub,Office,"London, EC2A 1AA",8500000,2019-03-15,12000000,0.96,216000,180000,B,8.5,4500,51.5231,-0.0871
PROP-002,Canary Wharf Tower,Office,"London, E14 5AB",15000000,2018-06-20,18500000,0.94,380000,320000,A,9.0,4800,51.5054,-0.0235
PROP-003,High Street Retail Plaza,Retail,"Manchester, M1 1AD",4200000,2020-01-10,4800000,0.80,76800,65000,C,7.0,3200,53.4808,-2.2426
PROP-004,Riverside Apartments,Residential,"Edinburgh, EH1 1BB",6500000,2019-08-25,7200000,0.90,194400,165000,B,8.0,1800,55.9533,-3.1883
PROP-005,Business Innovation Centre,Office,"Bristol, BS1 4DJ",5200000,2020-11-30,6000000,0.875,133000,110000,B,7.5,3800,51.4545,-2.5879
PROP-006,Docklands Warehouse,Industrial,"Cardiff, CF10 4GA",3800000,2019-05-18,4500000,1.00,96000,85000,C,8.0,12000,51.4816,-3.1791
PROP-007,City Centre Retail Unit,Retail,"Leeds, LS1 1UR",2100000,2021-02-14,2200000,0.72,50400,38000,D,6.0,2800,53.7997,-1.5492
PROP-008,Suburban Office Park,Office,"Glasgow, G2 2AT",6800000,2019-10-05,7800000,0.90,189000,160000,B,8.5,3500,55.8642,-4.2518
PROP-009,Student Accommodation,Residential,"Oxford, OX1 1BX",8900000,2018-12-12,10500000,0.925,222000,195000,A,9.0,1200,51.7520,-1.2577
PROP-010,Tech Campus East,Office,"Cambridge, CB1 1PT",9200000,2019-07-22,11500000,0.95,319200,275000,A,9.5,4200,52.2053,0.1218
PROP-011,Logistics Hub North,Industrial,"Nottingham, NG1 1JW",7500000,2020-04-08,8800000,0.917,198000,175000,B,8.5,18000,52.9548,-1.1581
PROP-012,Shopping Centre Unit,Retail,"Newcastle, NE1 1SE",3200000,2021-06-19,3000000,0.75,45000,32000,D,6.5,3000,54.9783,-1.6178
PROP-013,Corporate Plaza,Office,"Southampton, SO14 0PH",11500000,2018-09-03,14000000,0.95,475000,410000,A,9.0,5000,50.9097,-1.4044
PROP-014,Waterside Mixed Use,Mixed,"Liverpool, L1 1JD",8700000,2020-08-16,9500000,0.90,337500,285000,B,8.0,2500,53.4084,-2.9916
PROP-015,Data Centre Facility,Industrial,"Reading, RG1 1AQ",12000000,2019-01-25,14500000,1.00,125000,118000,A,9.5,25000,51.4543,-0.9781
PROP-016,Luxury Residences,Residential,"Bath, BA1 1SR",5600000,2020-10-11,6400000,0.925,162800,140000,A,8.5,2200,51.3811,-2.3590
PROP-017,Flexible Workspace,Office,"Brighton, BN1 1YR",4800000,2021-03-27,5500000,0.933,163800,138000,B,8.0,3900,50.8225,-0.1372
PROP-018,Retail Warehouse,Retail,"Sheffield, S1 2JE",4500000,2020-07-09,4200000,0.80,102000,82000,C,7.0,8500,53.3811,-1.4701
PROP-019,Science Park Building,Office,"Aberdeen, AB10 1FX",6300000,2019-11-14,7500000,0.945,249600,215000,B,8.5,4800,57.1497,-2.0943
PROP-020,Central Apartments,Residential,"Belfast, BT1 1NN",5100000,2020-12-05,5800000,0.90,259200,220000,B,8.0,1600,54.5973,-5.9301

