property_id,property_name,property_type,location,purchase_price,purchase_date,current_value,occupancy_rate,monthly_rent,noi,epc_rating,maintenance_score,market_rent,lease_expiry_date,gdp_growth,inflation_rate,interest_rate,market_demand
PROP-001,Downtown Tech Hub,Office,"London, EC2A 1AA",8500000,2019-03-15,12000000,0.96,216000,180000,B,8.5,4500,2027-12-31,2.3,3.5,5.25,85
PROP-002,Canary Wharf Tower,Office,"London, E14 5AB",15000000,2018-06-20,18500000,0.94,380000,320000,A,9.0,4800,2027-03-14,2.3,3.5,5.25,90
PROP-003,High Street Retail Plaza,Retail,"Manchester, M1 1AD",4200000,2020-01-10,4800000,0.80,76800,65000,C,7.0,3200,2026-11-14,1.8,3.8,5.25,62
PROP-004,Riverside Apartments,Residential,"Edinburgh, EH1 1BB",6500000,2019-08-25,7200000,0.90,194400,165000,B,8.0,1800,2025-12-31,2.1,3.6,5.25,78
PROP-005,Business Innovation Centre,Office,"Bristol, BS1 4DJ",5200000,2020-11-30,6000000,0.875,133000,110000,B,7.5,3800,2026-03-14,2.0,3.7,5.25,72
PROP-006,Docklands Warehouse,Industrial,"Cardiff, CF10 4GA",3800000,2019-05-18,4500000,1.00,96000,85000,C,8.0,12000,2028-12-31,2.4,3.4,5.25,88
PROP-007,City Centre Retail Unit,Retail,"Leeds, LS1 1UR",2100000,2021-02-14,2200000,0.72,50400,38000,D,6.0,2800,2026-12-31,1.5,4.0,5.25,55
PROP-008,Suburban Office Park,Office,"Glasgow, G2 2AT",6800000,2019-10-05,7800000,0.90,189000,160000,B,8.5,3500,2026-03-31,1.9,3.6,5.25,75
PROP-009,Student Accommodation,Residential,"Oxford, OX1 1BX",8900000,2018-12-12,10500000,0.925,222000,195000,A,9.0,1200,2025-08-31,2.2,3.5,5.25,92
PROP-010,Tech Campus East,Office,"Cambridge, CB1 1PT",9200000,2019-07-22,11500000,0.95,319200,275000,A,9.5,4200,2027-06-30,2.5,3.3,5.25,95
PROP-011,Logistics Hub North,Industrial,"Nottingham, NG1 1JW",7500000,2020-04-08,8800000,0.917,198000,175000,B,8.5,18000,2028-01-31,2.3,3.4,5.25,86
PROP-012,Shopping Centre Unit,Retail,"Newcastle, NE1 1SE",3200000,2021-06-19,3000000,0.75,45000,32000,D,6.5,3000,2025-05-31,1.6,3.9,5.25,58
PROP-013,Corporate Plaza,Office,"Southampton, SO14 0PH",11500000,2018-09-03,14000000,0.95,475000,410000,A,9.0,5000,2027-01-14,2.4,3.4,5.25,93
PROP-014,Waterside Mixed Use,Mixed,"Liverpool, L1 1JD",8700000,2020-08-16,9500000,0.90,337500,285000,B,8.0,2500,2025-02-28,1.9,3.7,5.25,74
PROP-015,Data Centre Facility,Industrial,"Reading, RG1 1AQ",12000000,2019-01-25,14500000,1.00,125000,118000,A,9.5,25000,2029-04-30,2.6,3.2,5.25,98
PROP-016,Luxury Residences,Residential,"Bath, BA1 1SR",5600000,2020-10-11,6400000,0.925,162800,140000,A,8.5,2200,2025-12-31,2.0,3.6,5.25,80
PROP-017,Flexible Workspace,Office,"Brighton, BN1 1YR",4800000,2021-03-27,5500000,0.933,163800,138000,B,8.0,3900,2026-02-14,2.1,3.5,5.25,77
PROP-018,Retail Warehouse,Retail,"Sheffield, S1 2JE",4500000,2020-07-09,4200000,0.80,102000,82000,C,7.0,8500,2025-03-31,1.7,3.8,5.25,60
PROP-019,Science Park Building,Office,"Aberdeen, AB10 1FX",6300000,2019-11-14,7500000,0.945,249600,215000,B,8.5,4800,2026-07-31,2.2,3.5,5.25,82
PROP-020,Central Apartments,Residential,"Belfast, BT1 1NN",5100000,2020-12-05,5800000,0.90,259200,220000,B,8.0,1600,2026-05-31,1.8,3.7,5.25,73

